iter	MultiClass
0	1.397788509
1	1.166863342
2	1.016760586
3	0.9095659217
4	0.828509054
5	0.7647656133
6	0.7128792853
7	0.6707976262
8	0.6362043765
9	0.6071189272
10	0.5832367391
11	0.5631479194
12	0.5456022455
13	0.5302245949
14	0.5172664609
15	0.5069031496
16	0.4979566901
17	0.489935861
18	0.4824538348
19	0.4758024176
20	0.4694766242
21	0.4642244802
22	0.4598354655
23	0.455746951
24	0.4525487884
25	0.4491219677
26	0.4462746115
27	0.443601092
28	0.4413129665
29	0.4392428758
30	0.4375756463
31	0.4360406397
32	0.4341491967
33	0.4320310415
34	0.4303663484
35	0.4292544451
36	0.4278422274
37	0.4261576755
38	0.4247346248
39	0.4233117247
40	0.4223373912
41	0.4212787954
42	0.4204564252
43	0.4195287563
44	0.4183267889
45	0.4173467178
46	0.4165436529
47	0.4159363282
48	0.4148597893
49	0.4140947782
50	0.4133919031
51	0.4124679245
52	0.4122028724
53	0.4115177627
54	0.4105499552
55	0.4096927173
56	0.4087032179
57	0.4081009083
58	0.4072904483
59	0.4067509937
60	0.4063030845
61	0.405249275
62	0.4044968038
63	0.4039675809
64	0.4034350361
65	0.4028421719
66	0.4021982722
67	0.4013334816
68	0.4007267453
69	0.400003058
70	0.399450278
71	0.3989072569
72	0.3985787294
73	0.3978440918
74	0.3973248483
75	0.396989852
76	0.3965357544
77	0.3958181925
78	0.3953760747
79	0.3947817063
80	0.3943175588
81	0.3938870415
82	0.3931671831
83	0.3928929996
84	0.3922378441
85	0.3916386206
86	0.3910616117
87	0.3907117987
88	0.3901997598
89	0.3898019366
90	0.389337512
91	0.3888448717
92	0.3884301726
93	0.3880467826
94	0.3878007366
95	0.387367836
96	0.3869410818
97	0.3866832905
98	0.3864124256
99	0.3862477678
100	0.3860237326
101	0.3854150003
102	0.3850155395
103	0.3847480956
104	0.3841899667
105	0.3840352717
106	0.3836251765
107	0.3833801813
108	0.3831454945
109	0.382822735
110	0.3823037588
111	0.3817126897
112	0.3813367857
113	0.3807589773
114	0.3804943569
115	0.380111608
116	0.3796881605
117	0.3794148671
118	0.379128713
119	0.3786562898
120	0.3782176173
121	0.3777140379
122	0.3773039537
123	0.3769008207
124	0.3766361538
125	0.3762563617
126	0.3759629936
127	0.3756624249
128	0.3752754862
129	0.375048575
130	0.3745563103
131	0.374304698
132	0.3739773011
133	0.3734408348
134	0.3731930796
135	0.3730193017
136	0.3725048595
137	0.3723384333
138	0.3720780975
139	0.37166437
140	0.3712120626
141	0.3707239175
142	0.3705717152
143	0.3701412086
144	0.3697514489
145	0.3695234512
146	0.3692004127
147	0.3688741002
148	0.3683635213
149	0.368124873
150	0.3679002587
151	0.367562957
152	0.3672791187
153	0.3669321284
154	0.3665970775
155	0.3662636833
156	0.3660103853
157	0.3658359489
158	0.3656622783
159	0.3654440025
160	0.3651968593
161	0.3648836354
162	0.3645920651
163	0.3643100661
164	0.364065563
165	0.3638238217
166	0.3635154228
167	0.3630926818
168	0.3628336276
169	0.3626019162
170	0.3624400497
171	0.3622068456
172	0.3618256368
173	0.3616118684
174	0.3615147249
175	0.3612706239
176	0.3609251994
177	0.3605154186
178	0.3602134484
179	0.3599808604
180	0.3596970174
181	0.3595262466
182	0.3590634875
183	0.3588828404
184	0.3583303247
185	0.3581524047
186	0.3578210137
187	0.3574688975
188	0.3572827518
189	0.3571442975
190	0.356866733
191	0.356600507
192	0.3562233993
193	0.3559568713
194	0.355818146
195	0.3554013728
196	0.3549947503
197	0.3547574508
198	0.3544400777
199	0.3540913167
200	0.3538190485
201	0.3533924666
202	0.3532764651
203	0.3531084213
204	0.3527791876
205	0.3524875722
206	0.3522423866
207	0.3520607736
208	0.3517815663
209	0.3513042847
210	0.3510973353
211	0.3507792407
212	0.3507128049
213	0.3504834049
214	0.3501082029
215	0.3497917438
216	0.3495853736
217	0.3494839379
218	0.3492326232
219	0.3491220526
220	0.3484705887
221	0.3482676399
222	0.3479198474
223	0.3476726889
224	0.3475662913
225	0.3473535322
226	0.3471328832
227	0.3467633221
228	0.3464260267
229	0.3461858904
230	0.345957201
231	0.3457780382
232	0.3454662704
233	0.3451296102
234	0.3449063633
235	0.3446208044
236	0.3444308749
237	0.3441037372
238	0.3438333517
239	0.3435287382
240	0.3433227312
241	0.3429609287
242	0.3426934325
243	0.3423863897
244	0.3421045898
245	0.3419160561
246	0.3416960386
247	0.3413321327
248	0.3411364344
249	0.3406424264
250	0.3405314348
251	0.340435385
252	0.340317944
253	0.3400581308
254	0.3398575859
255	0.339596943
256	0.3393263562
257	0.3389732643
258	0.3387653442
259	0.3385190195
260	0.3383607968
261	0.3381112517
262	0.3378916005
263	0.3376558486
264	0.337321341
265	0.3370968835
266	0.3368869926
267	0.3366432993
268	0.3363930683
269	0.3362303558
270	0.3359109863
271	0.3354808964
272	0.3350910088
273	0.3349491448
274	0.3345107618
275	0.3342576482
276	0.3338534082
277	0.3335674974
278	0.333300704
279	0.3329947972
280	0.3328675304
281	0.3326595497
282	0.3324131937
283	0.3322383185
284	0.3319075287
285	0.3316367248
286	0.3313659833
287	0.331071539
288	0.3308405169
289	0.3305206913
290	0.3303297022
291	0.330128732
292	0.3298346646
293	0.329754254
294	0.3295956438
295	0.3293482383
296	0.32919217
297	0.3290534071
298	0.3288536051
299	0.3286650232
300	0.328351118
301	0.3280373149
302	0.3278101887
303	0.3276615257
304	0.3274755799
305	0.3272216139
306	0.3269295701
307	0.3268096299
308	0.3264789357
309	0.3262187159
310	0.325973733
311	0.3255374053
312	0.325273675
313	0.3251062226
314	0.3249331842
315	0.3247170356
316	0.324472862
317	0.3242545303
318	0.3239958612
319	0.3238069129
320	0.323614969
321	0.323194073
322	0.3228970557
323	0.3226419588
324	0.3223901082
325	0.3221803324
326	0.3220130818
327	0.3218428577
